"regiao","estado","casosNovos","casosAcumulados","obitosNovos","obitosAcumulados","date"
"Norte","RO",0,0,0,0,2020-02-01
"Norte","RO",0,0,0,0,2020-02-02
"Norte","RO",0,0,0,0,2020-02-03
"Norte","RO",0,0,0,0,2020-02-04
"Norte","RO",0,0,0,0,2020-02-05
"Norte","RO",0,0,0,0,2020-02-06
"Norte","RO",0,0,0,0,2020-02-07
"Norte","RO",0,0,0,0,2020-02-08
"Norte","RO",0,0,0,0,2020-02-09
"Norte","RO",0,0,0,0,2020-02-10
"Norte","RO",0,0,0,0,2020-02-11
"Norte","RO",0,0,0,0,2020-02-12
"Norte","RO",0,0,0,0,2020-02-13
"Norte","RO",0,0,0,0,2020-02-14
"Norte","RO",0,0,0,0,2020-02-15
"Norte","RO",0,0,0,0,2020-02-16
"Norte","RO",0,0,0,0,2020-02-17
"Norte","RO",0,0,0,0,2020-02-18
"Norte","RO",0,0,0,0,2020-02-19
"Norte","RO",0,0,0,0,2020-02-20
"Norte","RO",0,0,0,0,2020-02-21
"Norte","RO",0,0,0,0,2020-02-22
"Norte","RO",0,0,0,0,2020-02-23
"Norte","RO",0,0,0,0,2020-02-24
"Norte","RO",0,0,0,0,2020-02-25
"Norte","RO",0,0,0,0,2020-02-26
"Norte","RO",0,0,0,0,2020-02-27
"Norte","RO",0,0,0,0,2020-02-28
"Norte","RO",0,0,0,0,2020-02-29
"Norte","RO",0,0,0,0,2020-03-01
"Norte","RO",0,0,0,0,2020-03-02
"Norte","RO",0,0,0,0,2020-03-03
"Norte","RO",0,0,0,0,2020-03-04
"Norte","RO",0,0,0,0,2020-03-05
"Norte","RO",0,0,0,0,2020-03-06
"Norte","RO",0,0,0,0,2020-03-07
"Norte","RO",0,0,0,0,2020-03-08
"Norte","RO",0,0,0,0,2020-03-09
"Norte","RO",0,0,0,0,2020-03-10
"Norte","RO",0,0,0,0,2020-03-11
"Norte","RO",0,0,0,0,2020-03-12
"Norte","RO",0,0,0,0,2020-03-13
"Norte","RO",0,0,0,0,2020-03-14
"Norte","RO",0,0,0,0,2020-03-15
"Norte","RO",0,0,0,0,2020-03-16
"Norte","RO",0,0,0,0,2020-03-17
"Norte","RO",0,0,0,0,2020-03-18
"Norte","RO",0,0,0,0,2020-03-19
"Norte","RO",0,0,0,0,2020-03-20
"Norte","RO",0,0,0,0,2020-03-21
"Norte","RO",1,1,0,0,2020-03-22
"Norte","RO",0,1,0,0,2020-03-23
"Norte","RO",2,3,0,0,2020-03-24
"Norte","RO",0,3,0,0,2020-03-25
"Norte","RO",0,3,0,0,2020-03-26
"Norte","RO",2,5,0,0,2020-03-27
"Norte","RO",0,5,0,0,2020-03-28
"Norte","RO",1,6,0,0,2020-03-29
"Norte","RO",0,6,0,0,2020-03-30
"Norte","RO",0,6,0,0,2020-03-31
"Norte","RO",0,6,0,0,2020-04-01
"Norte","RO",2,8,1,1,2020-04-02
"Norte","RO",1,9,0,1,2020-04-03
"Norte","RO",1,10,0,1,2020-04-04
"Norte","RO",0,10,0,1,2020-04-05
"Norte","RO",1,11,0,1,2020-04-06
"Norte","RO",1,12,0,1,2020-04-07
"Norte","RO",2,14,0,1,2020-04-08
"Norte","AC",0,0,0,0,2020-02-01
"Norte","AC",0,0,0,0,2020-02-02
"Norte","AC",0,0,0,0,2020-02-03
"Norte","AC",0,0,0,0,2020-02-04
"Norte","AC",0,0,0,0,2020-02-05
"Norte","AC",0,0,0,0,2020-02-06
"Norte","AC",0,0,0,0,2020-02-07
"Norte","AC",0,0,0,0,2020-02-08
"Norte","AC",0,0,0,0,2020-02-09
"Norte","AC",0,0,0,0,2020-02-10
"Norte","AC",0,0,0,0,2020-02-11
"Norte","AC",0,0,0,0,2020-02-12
"Norte","AC",0,0,0,0,2020-02-13
"Norte","AC",0,0,0,0,2020-02-14
"Norte","AC",0,0,0,0,2020-02-15
"Norte","AC",0,0,0,0,2020-02-16
"Norte","AC",0,0,0,0,2020-02-17
"Norte","AC",0,0,0,0,2020-02-18
"Norte","AC",0,0,0,0,2020-02-19
"Norte","AC",0,0,0,0,2020-02-20
"Norte","AC",0,0,0,0,2020-02-21
"Norte","AC",0,0,0,0,2020-02-22
"Norte","AC",0,0,0,0,2020-02-23
"Norte","AC",0,0,0,0,2020-02-24
"Norte","AC",0,0,0,0,2020-02-25
"Norte","AC",0,0,0,0,2020-02-26
"Norte","AC",0,0,0,0,2020-02-27
"Norte","AC",0,0,0,0,2020-02-28
"Norte","AC",0,0,0,0,2020-02-29
"Norte","AC",0,0,0,0,2020-03-01
"Norte","AC",0,0,0,0,2020-03-02
"Norte","AC",0,0,0,0,2020-03-03
"Norte","AC",0,0,0,0,2020-03-04
"Norte","AC",0,0,0,0,2020-03-05
"Norte","AC",0,0,0,0,2020-03-06
"Norte","AC",0,0,0,0,2020-03-07
"Norte","AC",0,0,0,0,2020-03-08
"Norte","AC",0,0,0,0,2020-03-09
"Norte","AC",0,0,0,0,2020-03-10
"Norte","AC",0,0,0,0,2020-03-11
"Norte","AC",0,0,0,0,2020-03-12
"Norte","AC",0,0,0,0,2020-03-13
"Norte","AC",0,0,0,0,2020-03-14
"Norte","AC",0,0,0,0,2020-03-15
"Norte","AC",0,0,0,0,2020-03-16
"Norte","AC",0,0,0,0,2020-03-17
"Norte","AC",0,0,0,0,2020-03-18
"Norte","AC",0,0,0,0,2020-03-19
"Norte","AC",0,0,0,0,2020-03-20
"Norte","AC",3,3,0,0,2020-03-21
"Norte","AC",4,7,0,0,2020-03-22
"Norte","AC",2,9,0,0,2020-03-23
"Norte","AC",2,11,0,0,2020-03-24
"Norte","AC",0,11,0,0,2020-03-25
"Norte","AC",6,17,0,0,2020-03-26
"Norte","AC",6,23,0,0,2020-03-27
"Norte","AC",1,24,0,0,2020-03-28
"Norte","AC",1,25,0,0,2020-03-29
"Norte","AC",0,25,0,0,2020-03-30
"Norte","AC",9,34,0,0,2020-03-31
"Norte","AC",8,42,0,0,2020-04-01
"Norte","AC",0,42,0,0,2020-04-02
"Norte","AC",1,43,0,0,2020-04-03
"Norte","AC",0,43,0,0,2020-04-04
"Norte","AC",3,46,0,0,2020-04-05
"Norte","AC",0,46,0,0,2020-04-06
"Norte","AC",2,48,0,0,2020-04-07
"Norte","AC",2,50,0,0,2020-04-08
"Norte","AM",0,0,0,0,2020-02-01
"Norte","AM",0,0,0,0,2020-02-02
"Norte","AM",0,0,0,0,2020-02-03
"Norte","AM",0,0,0,0,2020-02-04
"Norte","AM",0,0,0,0,2020-02-05
"Norte","AM",0,0,0,0,2020-02-06
"Norte","AM",0,0,0,0,2020-02-07
"Norte","AM",0,0,0,0,2020-02-08
"Norte","AM",0,0,0,0,2020-02-09
"Norte","AM",0,0,0,0,2020-02-10
"Norte","AM",0,0,0,0,2020-02-11
"Norte","AM",0,0,0,0,2020-02-12
"Norte","AM",0,0,0,0,2020-02-13
"Norte","AM",0,0,0,0,2020-02-14
"Norte","AM",0,0,0,0,2020-02-15
"Norte","AM",0,0,0,0,2020-02-16
"Norte","AM",0,0,0,0,2020-02-17
"Norte","AM",0,0,0,0,2020-02-18
"Norte","AM",0,0,0,0,2020-02-19
"Norte","AM",0,0,0,0,2020-02-20
"Norte","AM",0,0,0,0,2020-02-21
"Norte","AM",0,0,0,0,2020-02-22
"Norte","AM",0,0,0,0,2020-02-23
"Norte","AM",0,0,0,0,2020-02-24
"Norte","AM",0,0,0,0,2020-02-25
"Norte","AM",0,0,0,0,2020-02-26
"Norte","AM",0,0,0,0,2020-02-27
"Norte","AM",0,0,0,0,2020-02-28
"Norte","AM",0,0,0,0,2020-02-29
"Norte","AM",0,0,0,0,2020-03-01
"Norte","AM",0,0,0,0,2020-03-02
"Norte","AM",0,0,0,0,2020-03-03
"Norte","AM",0,0,0,0,2020-03-04
"Norte","AM",0,0,0,0,2020-03-05
"Norte","AM",0,0,0,0,2020-03-06
"Norte","AM",0,0,0,0,2020-03-07
"Norte","AM",0,0,0,0,2020-03-08
"Norte","AM",0,0,0,0,2020-03-09
"Norte","AM",0,0,0,0,2020-03-10
"Norte","AM",0,0,0,0,2020-03-11
"Norte","AM",0,0,0,0,2020-03-12
"Norte","AM",0,0,0,0,2020-03-13
